total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.5Gi,2.3Gi,20Mi,2.3Gi,4.4Gi,1.7214014530181885
7.2Gi,3.0Gi,1.8Gi,103Mi,2.4Gi,3.9Gi,2.8481462001800537
7.2Gi,3.4Gi,1.4Gi,103Mi,2.4Gi,3.5Gi,3.9712789058685303
7.2Gi,4.1Gi,601Mi,103Mi,2.4Gi,2.7Gi,5.089946746826172
7.2Gi,4.6Gi,153Mi,86Mi,2.4Gi,2.3Gi,6.215526580810547
7.2Gi,4.6Gi,142Mi,94Mi,2.4Gi,2.3Gi,7.349860429763794
7.2Gi,4.6Gi,118Mi,94Mi,2.4Gi,2.2Gi,8.473594188690186
7.2Gi,4.6Gi,108Mi,103Mi,2.4Gi,2.2Gi,9.617112398147583
7.2Gi,4.6Gi,114Mi,93Mi,2.4Gi,2.2Gi,10.77377200126648
7.2Gi,4.6Gi,107Mi,98Mi,2.4Gi,2.2Gi,12.005458116531372
7.2Gi,4.6Gi,166Mi,93Mi,2.4Gi,2.3Gi,13.136921644210815
7.2Gi,4.6Gi,158Mi,94Mi,2.4Gi,2.3Gi,14.265292882919312
7.2Gi,4.6Gi,158Mi,94Mi,2.4Gi,2.3Gi,15.38866901397705
7.2Gi,4.6Gi,158Mi,94Mi,2.4Gi,2.3Gi,16.511378049850464
7.2Gi,4.6Gi,156Mi,94Mi,2.4Gi,2.3Gi,17.644443035125732
7.2Gi,4.6Gi,136Mi,94Mi,2.4Gi,2.3Gi,18.773603439331055
