total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.1Gi,2.7Gi,20Mi,2.3Gi,4.8Gi,1.8866004943847656
7.2Gi,2.4Gi,2.5Gi,20Mi,2.3Gi,4.6Gi,3.082115650177002
7.2Gi,2.5Gi,2.3Gi,20Mi,2.3Gi,4.4Gi,4.271757364273071
7.2Gi,2.8Gi,1.9Gi,93Mi,2.4Gi,4.0Gi,5.477663993835449
7.2Gi,3.1Gi,1.6Gi,103Mi,2.4Gi,3.7Gi,6.6755900382995605
7.2Gi,3.3Gi,1.4Gi,103Mi,2.4Gi,3.5Gi,7.8704993724823
7.2Gi,3.5Gi,1.2Gi,103Mi,2.4Gi,3.3Gi,9.067180395126343
7.2Gi,3.9Gi,865Mi,103Mi,2.4Gi,2.9Gi,10.354544639587402
7.2Gi,4.4Gi,362Mi,103Mi,2.4Gi,2.4Gi,11.551010608673096
7.2Gi,4.6Gi,151Mi,84Mi,2.4Gi,2.2Gi,12.756122827529907
7.2Gi,4.6Gi,128Mi,101Mi,2.4Gi,2.2Gi,13.956355094909668
7.2Gi,4.7Gi,109Mi,94Mi,2.4Gi,2.2Gi,15.301517248153687
7.2Gi,4.7Gi,107Mi,94Mi,2.4Gi,2.2Gi,16.50464963912964
7.2Gi,4.7Gi,106Mi,94Mi,2.4Gi,2.2Gi,17.696338415145874
7.2Gi,4.7Gi,108Mi,93Mi,2.4Gi,2.2Gi,18.897592544555664
7.2Gi,4.7Gi,106Mi,94Mi,2.4Gi,2.2Gi,20.09542679786682
7.2Gi,4.7Gi,106Mi,94Mi,2.4Gi,2.2Gi,21.287983417510986
7.2Gi,4.7Gi,103Mi,98Mi,2.4Gi,2.2Gi,22.49084973335266
7.2Gi,4.7Gi,109Mi,94Mi,2.4Gi,2.2Gi,23.689581155776978
7.2Gi,4.7Gi,107Mi,94Mi,2.4Gi,2.2Gi,24.88637137413025
7.2Gi,4.7Gi,107Mi,94Mi,2.4Gi,2.2Gi,26.090193510055542
7.2Gi,4.7Gi,109Mi,94Mi,2.4Gi,2.2Gi,27.291076183319092
7.2Gi,4.5Gi,341Mi,38Mi,2.3Gi,2.4Gi,28.482043027877808
