powermode,observed_time,observed_power
12_268800_216750000_665600000,1871.2072477340696,11.978
8_1651200_522750000_665600000,671.7337331771851,15.0565
10_1036800_726750000_2133000000,563.2331328392029,15.208
8_1804800_828750000_2133000000,377.0812840461731,18.0215
4_576000_624750000_665600000,1064.008350610733,13.1355
6_576000_420750000_665600000,963.1496474742888,13.188
4_1804800_1300500000_3199000000,353.64057421684265,21.592
8_1497600_726750000_2133000000,438.0829463005066,16.72
8_2201600_624750000_3199000000,358.220219373703,20.043
8_2201600_1300500000_2133000000,320.73192286491394,23.36
2_1651200_624750000_2133000000,486.9630599021912,16.02
6_729600_624750000_2133000000,749.7230906486511,14.606
