powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
8_1344000_522750000_2133000000,134.05374145507812,1.0,24.944,26,7.0,16.0,2.0,1.0,12_1958400_522750000_2133000000,127.94312286376952,1.0,25.994,7.0,1.0,8_1651200_726750000_2133000000,21.710463523864743,1.0,28.186,10.0,8_1651200_522750000_2133000000,134.848876953125,1.0,25.143,7.0,False,0.0217104635238647,1.0217104635238647,0.0217104635238647,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
8_729600_522750000_3199000000,129.2396469116211,1.0,26.799,27,7.0,16.0,2.0,1.0,12_1958400_522750000_2133000000,127.94312286376952,1.0,25.994,7.0,1.0,8_1651200_726750000_2133000000,21.710463523864743,1.0,28.186,10.0,4_1344000_522750000_3199000000,129.46988677978516,1.0,26.9,7.0,False,0.0217104635238647,1.0217104635238647,0.0217104635238647,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
8_1344000_522750000_3199000000,129.9143524169922,1.0,27.0,28,7.0,16.0,2.0,1.0,12_729600_726750000_2133000000,114.05279922485352,1.0,27.392,8.0,1.0,8_1651200_726750000_2133000000,21.710463523864743,1.0,28.186,10.0,4_1344000_522750000_3199000000,129.46988677978516,1.0,26.9,7.0,True,0.0217104635238647,1.0217104635238647,0.0217104635238647,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
8_1344000_522750000_3199000000,129.9143524169922,1.0,27.0,29,7.0,16.0,2.0,1.0,8_729600_726750000_2133000000,109.61191940307616,1.0,28.201,8.0,1.0,8_1651200_726750000_2133000000,21.710463523864743,1.0,28.186,10.0,12_1958400_522750000_3199000000,129.303955078125,1.0,28.303,7.0,True,0.0217104635238647,1.0217104635238647,0.0217104635238647,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1344000_726750000_2133000000,105.49894714355467,1.0,29.4045,30,9.0,15.0,2.0,1.0,8_1036800_726750000_2133000000,103.02932739257812,1.0,29.706,9.0,1.0,4_1651200_726750000_3199000000,22.781519889831543,1.0,31.39,11.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0,False,0.0227815198898315,1.0227815198898316,0.0227815198898315,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1344000_726750000_2133000000,105.49894714355467,1.0,29.4045,31,9.0,15.0,2.0,1.0,8_1036800_726750000_3199000000,102.25089645385742,1.0,30.4895,10.0,1.0,4_1651200_726750000_3199000000,22.781519889831543,1.0,31.39,11.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0,True,0.0227815198898315,1.0227815198898316,0.0227815198898315,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_726750000_3199000000,103.69643020629884,1.0,31.499,32,10.0,15.0,2.0,1.0,12_729600_726750000_3199000000,97.3949737548828,1.0,31.398,10.0,1.0,4_1651200_726750000_3199000000,22.781519889831543,1.0,31.39,11.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0,True,0.0227815198898315,1.0227815198898316,0.0227815198898315,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_726750000_3199000000,103.69643020629884,1.0,31.499,33,10.0,15.0,2.0,1.0,12_1036800_930750000_2133000000,91.86831665039062,1.0,32.6165,10.0,1.0,4_1651200_726750000_3199000000,22.781519889831543,1.0,31.39,11.0,4_1651200_726750000_3199000000,98.0902214050293,1.0,32.201,10.0,True,0.0227815198898315,1.0227815198898316,0.0227815198898315,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_930750000_2133000000,92.20774459838869,1.0,33.215,34,10.0,15.0,2.0,1.0,12_729600_930750000_3199000000,104.26548767089844,1.0,33.403,11.0,1.0,4_1651200_726750000_3199000000,22.781519889831543,1.0,31.39,11.0,4_1651200_726750000_3199000000,98.0902214050293,1.0,32.201,10.0,True,0.0227815198898315,1.0227815198898316,0.0227815198898315,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
8_1344000_930750000_2133000000,92.20774459838869,1.0,33.215,35,10.0,15.0,2.0,1.0,8_729600_1134750000_3199000000,96.42403030395508,1.0,34.891,11.0,1.0,12_2201600_726750000_3199000000,16.43723201751709,1.0,34.497,11.0,12_2201600_726750000_3199000000,95.03231811523438,1.0,34.757,10.0,True,0.016437232017517,1.016437232017517,0.016437232017517,12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,9.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
