powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
8_2201600_1134750000_3199000000,20.898048400878903,4.0,39.1,47.0,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,19.83076858520508,4.0,43.839,1.0,1.0
8_2201600_1134750000_3199000000,20.898048400878903,4.0,39.1,48.0,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,19.83076858520508,4.0,43.839,1.0,1.0
8_2201600_1134750000_3199000000,20.898048400878903,4.0,39.1,49.0,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,19.83076858520508,4.0,43.839,1.0,1.0
8_2201600_1134750000_3199000000,20.898048400878903,4.0,39.1,50.0,1.0,13.0,0.5,30.0,12_2201600_1300500000_3199000000,19.83076858520508,4.0,43.839,1.0,1.0
,,,,10.0,,25.0,0.6,30.0,,,,,,1.0
,,,,11.0,,25.0,0.6,30.0,,,,,,1.0
,,,,12.0,,25.0,0.6,30.0,,,,,,1.0
,,,,13.0,,25.0,0.6,30.0,,,,,,1.0
,,,,14.0,,25.0,0.6,30.0,,,,,,1.0
8_1344000_114750000_665600000,70.80398178100586,4.0,14.55,15.0,0.0,18.0,0.6,30.0,8_1651200_114750000_665600000,28.968048095703125,1.0,14.851,0.0,1.0
8_1344000_114750000_2133000000,68.49153900146484,4.0,15.454,16.0,0.0,17.0,0.6,30.0,8_1651200_114750000_2133000000,27.62977600097656,1.0,15.754,0.0,1.0
8_1651200_114750000_3199000000,67.21739196777344,4.0,16.557,17.0,0.0,18.0,0.6,30.0,4_1958400_114750000_3199000000,26.89072036743164,1.0,16.857,0.0,1.0
8_2201600_114750000_3199000000,66.91814422607422,4.0,17.865,18.0,0.0,17.0,0.6,30.0,4_1958400_318750000_665600000,25.683088302612305,1.0,17.861,0.0,1.0
8_2201600_114750000_3199000000,66.91814422607422,4.0,17.865,19.0,0.0,17.0,0.6,30.0,8_1958400_318750000_665600000,24.26191997528076,1.0,18.261,0.0,1.0
8_1344000_318750000_2133000000,36.481889724731445,4.0,19.18,20.0,0.0,13.0,0.6,30.0,12_2201600_318750000_665600000,21.15015983581543,1.0,19.465,0.0,1.0
8_1344000_318750000_2133000000,36.481889724731445,4.0,19.18,21.0,0.0,15.0,0.6,30.0,8_2201600_318750000_2133000000,20.07536029815674,1.0,20.881,0.0,1.0
8_1344000_522750000_2133000000,57.09987258911133,16.0,21.684,22.0,2.0,13.0,0.6,30.0,8_1344000_522750000_2133000000,57.09987258911133,16.0,21.684,2.0,1.0
8_1344000_522750000_2133000000,57.09987258911133,16.0,21.684,23.0,2.0,13.0,0.6,30.0,8_1651200_522750000_2133000000,55.39355278015137,16.0,22.784,2.0,1.0
8_1344000_522750000_3199000000,53.92432022094727,16.0,23.1765,24.0,2.0,13.0,0.6,30.0,12_1036800_726750000_2133000000,50.1147689819336,16.0,23.975,2.0,1.0
12_1344000_726750000_2133000000,47.60308837890625,16.0,24.581,25.0,2.0,13.0,0.6,30.0,12_1344000_726750000_2133000000,47.60308837890625,16.0,24.581,2.0,1.0
12_1344000_726750000_2133000000,47.60308837890625,16.0,24.581,26.0,2.0,12.0,0.6,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,25.174,3.0,1.0
8_1344000_726750000_3199000000,46.913007736206055,16.0,26.679,27.0,3.0,13.0,0.6,30.0,8_1651200_726750000_2133000000,46.47476768493652,16.0,25.174,3.0,1.0
8_1344000_726750000_3199000000,46.913007736206055,16.0,26.679,28.0,3.0,13.0,0.6,30.0,8_1651200_726750000_3199000000,42.192399978637695,16.0,27.8815,3.0,1.0
8_1958400_726750000_3199000000,40.275726318359375,16.0,28.903,29.0,3.0,13.0,0.6,30.0,8_1958400_726750000_3199000000,40.275726318359375,16.0,28.903,3.0,1.0
8_1958400_726750000_3199000000,40.275726318359375,16.0,28.903,30.0,3.0,13.0,0.6,30.0,8_1958400_726750000_3199000000,40.275726318359375,16.0,28.903,3.0,1.0
12_2201600_726750000_3199000000,40.10158348083496,16.0,30.392,31.0,3.0,13.0,0.6,30.0,12_2201600_726750000_3199000000,40.10158348083496,16.0,30.392,3.0,1.0
12_2201600_726750000_3199000000,40.10158348083496,16.0,30.392,32.0,3.0,13.0,0.6,30.0,8_1651200_930750000_3199000000,44.71054267883301,16.0,31.384,4.0,1.0
12_2201600_726750000_3199000000,40.10158348083496,16.0,30.392,33.0,3.0,13.0,0.6,30.0,8_1651200_930750000_3199000000,44.71054267883301,16.0,31.384,4.0,1.0
12_2201600_726750000_3199000000,40.10158348083496,16.0,30.392,34.0,3.0,13.0,0.6,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,33.394,4.0,1.0
12_2201600_726750000_3199000000,40.10158348083496,16.0,30.392,35.0,3.0,13.0,0.6,30.0,8_1958400_930750000_3199000000,33.303823471069336,16.0,33.394,4.0,1.0
