total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.0Gi,2.8Gi,20Mi,2.4Gi,4.9Gi,3.6966445446014404
7.2Gi,2.0Gi,2.8Gi,20Mi,2.4Gi,4.9Gi,6.454039096832275
7.2Gi,2.0Gi,2.8Gi,20Mi,2.4Gi,4.9Gi,8.982038497924805
7.2Gi,2.2Gi,2.6Gi,20Mi,2.4Gi,4.8Gi,10.71185851097107
7.2Gi,2.3Gi,2.5Gi,20Mi,2.4Gi,4.6Gi,12.634992599487305
7.2Gi,2.4Gi,2.4Gi,20Mi,2.4Gi,4.5Gi,14.30742073059082
7.2Gi,2.5Gi,2.3Gi,20Mi,2.4Gi,4.4Gi,16.175042867660522
7.2Gi,2.6Gi,2.2Gi,20Mi,2.4Gi,4.4Gi,18.538923025131226
7.2Gi,2.6Gi,2.2Gi,48Mi,2.4Gi,4.3Gi,21.534765005111694
7.2Gi,2.7Gi,2.0Gi,63Mi,2.4Gi,4.2Gi,25.02255630493164
7.2Gi,2.8Gi,1.9Gi,94Mi,2.4Gi,4.0Gi,27.835902214050293
7.2Gi,3.0Gi,1.7Gi,103Mi,2.4Gi,3.9Gi,30.483851671218872
7.2Gi,3.1Gi,1.6Gi,103Mi,2.5Gi,3.7Gi,32.6170494556427
7.2Gi,3.2Gi,1.5Gi,103Mi,2.5Gi,3.6Gi,34.81078481674194
7.2Gi,3.3Gi,1.4Gi,103Mi,2.5Gi,3.6Gi,36.88245224952698
7.2Gi,3.4Gi,1.2Gi,103Mi,2.5Gi,3.4Gi,39.08296227455139
7.2Gi,3.6Gi,1.1Gi,103Mi,2.5Gi,3.3Gi,40.99993634223938
7.2Gi,3.8Gi,919Mi,103Mi,2.5Gi,3.1Gi,43.0820255279541
7.2Gi,4.1Gi,572Mi,103Mi,2.5Gi,2.7Gi,45.056260108947754
7.2Gi,4.3Gi,365Mi,103Mi,2.5Gi,2.5Gi,46.913787841796875
7.2Gi,4.6Gi,117Mi,94Mi,2.5Gi,2.3Gi,49.02842569351196
7.2Gi,4.6Gi,116Mi,57Mi,2.4Gi,2.3Gi,51.978959798812866
7.2Gi,4.7Gi,100Mi,48Mi,2.4Gi,2.3Gi,55.650885820388794
7.2Gi,4.6Gi,132Mi,66Mi,2.4Gi,2.3Gi,59.27985167503357
7.2Gi,4.6Gi,130Mi,65Mi,2.4Gi,2.3Gi,62.72723031044006
7.2Gi,4.6Gi,109Mi,66Mi,2.4Gi,2.3Gi,66.62114310264587
7.2Gi,4.6Gi,109Mi,66Mi,2.4Gi,2.3Gi,69.75592303276062
7.2Gi,4.6Gi,114Mi,61Mi,2.4Gi,2.3Gi,72.92784976959229
7.2Gi,4.6Gi,103Mi,75Mi,2.4Gi,2.3Gi,76.97323799133301
7.2Gi,4.6Gi,118Mi,57Mi,2.4Gi,2.3Gi,80.38217401504517
7.2Gi,4.6Gi,120Mi,57Mi,2.4Gi,2.3Gi,83.97443222999573
7.2Gi,4.6Gi,128Mi,48Mi,2.4Gi,2.3Gi,87.45097994804382
7.2Gi,4.6Gi,120Mi,57Mi,2.4Gi,2.3Gi,90.84122133255005
7.2Gi,4.4Gi,370Mi,29Mi,2.4Gi,2.5Gi,93.72414135932922
