total,used,free,log_time
3.6Gi,6.0Mi,3.6Gi,3.4906818866729736
3.6Gi,6.0Mi,3.6Gi,5.62665057182312
3.6Gi,6.0Mi,3.6Gi,8.051776885986328
3.6Gi,6.0Mi,3.6Gi,10.325469255447388
3.6Gi,6.0Mi,3.6Gi,12.760854244232178
3.6Gi,6.0Mi,3.6Gi,15.291125059127808
3.6Gi,6.0Mi,3.6Gi,17.191640615463257
3.6Gi,6.0Mi,3.6Gi,18.882641792297363
3.6Gi,6.0Mi,3.6Gi,20.95747447013855
3.6Gi,6.0Mi,3.6Gi,22.91087245941162
3.6Gi,6.0Mi,3.6Gi,24.874783277511597
3.6Gi,6.0Mi,3.6Gi,26.89943027496338
3.6Gi,6.0Mi,3.6Gi,28.988536596298218
3.6Gi,6.0Mi,3.6Gi,31.100317001342773
3.6Gi,6.0Mi,3.6Gi,33.480085134506226
3.6Gi,6.0Mi,3.6Gi,35.504369258880615
3.6Gi,6.0Mi,3.6Gi,37.86672019958496
3.6Gi,6.0Mi,3.6Gi,39.88631582260132
3.6Gi,6.0Mi,3.6Gi,41.92603254318237
3.6Gi,6.0Mi,3.6Gi,44.429847717285156
3.6Gi,6.0Mi,3.6Gi,46.568395376205444
3.6Gi,6.0Mi,3.6Gi,48.48041558265686
3.6Gi,6.0Mi,3.6Gi,50.57883167266846
3.6Gi,6.0Mi,3.6Gi,52.34035897254944
3.6Gi,6.0Mi,3.6Gi,54.458632707595825
3.6Gi,6.0Mi,3.6Gi,56.243176221847534
3.6Gi,6.0Mi,3.6Gi,58.07436919212341
3.6Gi,6.0Mi,3.6Gi,60.31360650062561
3.6Gi,6.0Mi,3.6Gi,62.100480794906616
3.6Gi,6.0Mi,3.6Gi,63.64605164527893
3.6Gi,6.0Mi,3.6Gi,65.18734645843506
3.6Gi,6.0Mi,3.6Gi,66.55168843269348
3.6Gi,6.0Mi,3.6Gi,68.21658205986023
3.6Gi,6.0Mi,3.6Gi,70.01922750473022
3.6Gi,6.0Mi,3.6Gi,71.54086875915527
3.6Gi,6.0Mi,3.6Gi,73.19783878326416
3.6Gi,6.0Mi,3.6Gi,75.1238362789154
3.6Gi,6.0Mi,3.6Gi,77.01436352729797
3.6Gi,6.0Mi,3.6Gi,78.62499690055847
3.6Gi,6.0Mi,3.6Gi,80.09204530715942
3.6Gi,6.0Mi,3.6Gi,81.62693977355957
3.6Gi,6.0Mi,3.6Gi,83.040292263031
3.6Gi,6.0Mi,3.6Gi,84.45454859733582
3.6Gi,6.0Mi,3.6Gi,85.9862539768219
3.6Gi,6.0Mi,3.6Gi,87.50018382072449
3.6Gi,6.0Mi,3.6Gi,88.94013047218323
3.6Gi,6.0Mi,3.6Gi,90.52987146377563
3.6Gi,6.0Mi,3.6Gi,92.02303051948547
3.6Gi,6.0Mi,3.6Gi,93.56069254875183
3.6Gi,6.0Mi,3.6Gi,94.98990631103516
3.6Gi,6.0Mi,3.6Gi,96.39404559135437
3.6Gi,6.0Mi,3.6Gi,98.00952386856079
3.6Gi,6.0Mi,3.6Gi,99.45873880386353
3.6Gi,6.0Mi,3.6Gi,100.80457067489624
3.6Gi,6.0Mi,3.6Gi,102.18261766433716
3.6Gi,6.0Mi,3.6Gi,103.64653587341309
3.6Gi,6.0Mi,3.6Gi,105.2403621673584
3.6Gi,6.0Mi,3.6Gi,106.73177289962769
3.6Gi,6.0Mi,3.6Gi,108.23364448547363
3.6Gi,6.0Mi,3.6Gi,109.72293162345886
3.6Gi,6.0Mi,3.6Gi,111.26177287101746
3.6Gi,6.0Mi,3.6Gi,112.86298060417175
3.6Gi,6.0Mi,3.6Gi,114.47026228904724
3.6Gi,6.0Mi,3.6Gi,115.9091272354126
3.6Gi,6.0Mi,3.6Gi,117.5333743095398
3.6Gi,6.0Mi,3.6Gi,119.06250214576721
3.6Gi,6.0Mi,3.6Gi,120.47036933898926
3.6Gi,6.0Mi,3.6Gi,121.91116905212402
3.6Gi,6.0Mi,3.6Gi,123.49346780776978
3.6Gi,6.0Mi,3.6Gi,124.89941549301147
3.6Gi,6.0Mi,3.6Gi,126.2670247554779
3.6Gi,6.0Mi,3.6Gi,127.64513945579529
3.6Gi,6.0Mi,3.6Gi,129.090562582016
3.6Gi,6.0Mi,3.6Gi,130.6821527481079
3.6Gi,6.0Mi,3.6Gi,132.10712599754333
3.6Gi,6.0Mi,3.6Gi,133.59454250335693
3.6Gi,6.0Mi,3.6Gi,135.18164944648743
3.6Gi,6.0Mi,3.6Gi,136.50949215888977
3.6Gi,6.0Mi,3.6Gi,137.91419529914856
3.6Gi,6.0Mi,3.6Gi,139.3787362575531
3.6Gi,6.0Mi,3.6Gi,140.92230248451233
3.6Gi,6.0Mi,3.6Gi,142.4608860015869
3.6Gi,6.0Mi,3.6Gi,143.90168476104736
3.6Gi,6.0Mi,3.6Gi,145.37211632728577
3.6Gi,6.0Mi,3.6Gi,146.73915672302246
3.6Gi,6.0Mi,3.6Gi,148.2706699371338
3.6Gi,6.0Mi,3.6Gi,149.76343250274658
3.6Gi,6.0Mi,3.6Gi,151.14395427703857
3.6Gi,6.0Mi,3.6Gi,152.59061789512634
3.6Gi,6.0Mi,3.6Gi,154.20238542556763
3.6Gi,6.0Mi,3.6Gi,155.62671613693237
3.6Gi,6.0Mi,3.6Gi,157.22795152664185
3.6Gi,6.0Mi,3.6Gi,158.6696515083313
3.6Gi,6.0Mi,3.6Gi,160.20104837417603
3.6Gi,6.0Mi,3.6Gi,161.66920018196106
3.6Gi,6.0Mi,3.6Gi,163.16061353683472
3.6Gi,6.0Mi,3.6Gi,164.76328492164612
3.6Gi,6.0Mi,3.6Gi,166.37136244773865
3.6Gi,6.0Mi,3.6Gi,167.85782980918884
3.6Gi,6.0Mi,3.6Gi,169.33488512039185
3.6Gi,6.0Mi,3.6Gi,170.80664825439453
3.6Gi,6.0Mi,3.6Gi,172.1895306110382
3.6Gi,6.0Mi,3.6Gi,173.81959533691406
3.6Gi,6.0Mi,3.6Gi,175.24947214126587
3.6Gi,6.0Mi,3.6Gi,176.82467341423035
3.6Gi,6.0Mi,3.6Gi,178.31499481201172
3.6Gi,6.0Mi,3.6Gi,179.8240053653717
3.6Gi,6.0Mi,3.6Gi,181.22521233558655
3.6Gi,6.0Mi,3.6Gi,182.62164092063904
3.6Gi,6.0Mi,3.6Gi,184.08903121948242
3.6Gi,6.0Mi,3.6Gi,185.43414282798767
3.6Gi,6.0Mi,3.6Gi,186.98148584365845
3.6Gi,6.0Mi,3.6Gi,188.36729502677917
3.6Gi,6.0Mi,3.6Gi,189.83536028862
3.6Gi,6.0Mi,3.6Gi,191.40947937965393
3.6Gi,6.0Mi,3.6Gi,193.0081799030304
3.6Gi,6.0Mi,3.6Gi,194.56775212287903
3.6Gi,6.0Mi,3.6Gi,195.946790933609
3.6Gi,6.0Mi,3.6Gi,197.75941801071167
3.6Gi,6.0Mi,3.6Gi,199.38542866706848
3.6Gi,6.0Mi,3.6Gi,201.22269701957703
3.6Gi,6.0Mi,3.6Gi,202.8779444694519
3.6Gi,6.0Mi,3.6Gi,204.37894558906555
3.6Gi,6.0Mi,3.6Gi,206.22064685821533
3.6Gi,6.0Mi,3.6Gi,207.82110357284546
3.6Gi,6.0Mi,3.6Gi,209.62297701835632
3.6Gi,10Mi,3.6Gi,211.7138180732727
3.6Gi,10Mi,3.6Gi,213.19376707077026
3.6Gi,10Mi,3.6Gi,215.04789280891418
3.6Gi,10Mi,3.6Gi,216.5431170463562
3.6Gi,10Mi,3.6Gi,218.06469821929932
3.6Gi,10Mi,3.6Gi,219.78693151474
3.6Gi,10Mi,3.6Gi,221.25170397758484
3.6Gi,10Mi,3.6Gi,222.87709045410156
3.6Gi,10Mi,3.6Gi,224.35677814483643
